0	,	0
1	,	12
6	,	12
13	,	12
21	,	12
30	,	12
39	,	12
49	,	12
58	,	12
69	,	12
79	,	12
90	,	12
100	,	12
111	,	12
122	,	12
135	,	12
146	,	12
157	,	12
168	,	12
180	,	12
191	,	12
203	,	12
215	,	12
228	,	12
240	,	12
252	,	12
266	,	12
278	,	12
290	,	12
303	,	12
315	,	12
327	,	12
340	,	12
353	,	12
365	,	12
377	,	12
390	,	12
403	,	12
415	,	12
427	,	12
440	,	12
452	,	12
465	,	12
478	,	12
490	,	12
502	,	12
514	,	12
527	,	12
540	,	12
552	,	12
565	,	12
577	,	12
589	,	12
603	,	12
615	,	12
627	,	12
639	,	12
652	,	12
664	,	12
677	,	12
690	,	12
702	,	12
714	,	12
726	,	12
740	,	12
752	,	12
764	,	12
777	,	12
789	,	12
802	,	12
815	,	12
827	,	12
839	,	12
851	,	12
865	,	12
877	,	12
889	,	12
902	,	12
914	,	12
926	,	12
939	,	12
952	,	12
964	,	12
976	,	12
989	,	12
1002	,	12
1015	,	12
1029	,	12
1042	,	12
1055	,	12
1069	,	12
1083	,	12
1096	,	12
1109	,	12
1123	,	12
1137	,	12
1150	,	12
1164	,	12
1177	,	12
1190	,	12
1205	,	12
1218	,	12
1231	,	12
1245	,	12
1258	,	12
1273	,	12
1288	,	12
1302	,	12
1316	,	12
1332	,	12
1346	,	12
1360	,	12
1375	,	12
1389	,	12
1404	,	12
1419	,	12
1433	,	12
1447	,	12
1463	,	12
1477	,	12
1491	,	12
1506	,	12
1520	,	12
1535	,	12
1550	,	12
1564	,	12
1578	,	12
1593	,	12
1608	,	12
1622	,	12
1637	,	12
1651	,	12
1666	,	12
1681	,	12
1695	,	12
1709	,	12
1724	,	12
1739	,	12
1754	,	12
1768	,	12
1782	,	12
1798	,	12
1812	,	12
1826	,	12
1841	,	12
1855	,	12
1870	,	12
1885	,	12
1899	,	12
1913	,	12
1929	,	12
1943	,	12
1957	,	12
1972	,	12
1986	,	12
2001	,	12
