0,0 
 0,0 
 0,0 
 0,0 
 0,0 
 1,0 
 1,0 
 1,0 
 1,0 
 6,1 
 12,4 
 19,10 
 28,20 
 36,36 
 44,56 
 53,80 
 61,111 
 71,157 
 80,223 
 89,307 
 98,399 
 108,508 
 118,634 
 129,777 
 139,930 
 150,1099 
 161,1299 
 172,1515 
 183,1747 
 196,1996 
 207,2260 
 218,2539 
 229,2835 
 241,3146 
 253,3468 
 264,3806 
 275,4162 
 287,4530 
 298,4910 
 309,5305 
 322,5704 
 333,6118 
 344,6542 
 355,6966 
 367,7404 
 378,7846 
 390,8288 
 401,8736 
 413,9178 
 424,9614 
 435,10060 
 449,10555 
 461,11044 
 473,11536 
 485,12016 
 498,12506 
 510,12996 
 523,13492 
 536,13974 
 548,14468 
 560,14959 
 572,15454 
 586,15939 
 598,16430 
 610,16916 
 623,17408 
 635,17898 
 648,18385 
 661,18868 
 673,19346 
 685,19822 
 697,20296 
 710,20758 
 723,21224 
 735,21688 
 748,22158 
 760,22636 
 772,23114 
 785,23592 
 798,24074 
 810,24538 
 822,25012 
 835,25470 
 848,25937 
 860,26414 
 872,26902 
 885,27380 
 897,27862 
 909,28330 
 923,28801 
 935,29260 
 947,29714 
 960,30160 
 972,30630 
 985,31111 
 997,31582 
 1010,32068 
 1023,32558 
